year;month;date;service;depart_st;arrival_st;avg_duration;exp_monthly_trains;cancelled_nb;delay>15;delay>30;delay>60;delay_external;delay_infrastructure;delay_traffic_management;delay_rolling_stock;delay_station_management;delay_passenger_related
2018;Jan;2018-01-01;National;LE MANS;PARIS MONTPARNASSE;56;406;1;32;9;4;20.0;35.0;16.67;16.67;8.33;3.33
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;143;775;7;45;21;4;21.67;25.0;11.67;40.0;1.67;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;RENNES;97;590;1;35;12;7;12.66;41.77;18.99;24.05;2.53;0.0
2018;Jan;2018-01-01;National;ST MALO;PARIS MONTPARNASSE;158;92;0;6;3;1;22.22;66.67;0.0;11.11;0.0;0.0
2018;Jan;2018-01-01;National;ARRAS;PARIS NORD;51;312;4;16;9;5;24.32;21.62;35.14;13.51;5.41;0.0
2018;Jan;2018-01-01;National;MARSEILLE ST CHARLES;LILLE;307;187;2;37;19;7;32.26;35.48;9.68;12.9;3.23;6.45
2018;Jan;2018-01-01;National;PARIS NORD;ARRAS;51;287;5;15;5;2;41.67;25.0;8.33;19.44;5.56;0.0
2018;Jan;2018-01-01;National;BORDEAUX ST JEAN;PARIS VAUGIRARD;144;62;0;7;5;2;11.11;11.11;22.22;55.56;0.0;0.0
2018;Jan;2018-01-01;National;PARIS VAUGIRARD;BORDEAUX ST JEAN;165;63;1;4;3;1;60.0;0.0;0.0;40.0;0.0;0.0
2018;Jan;2018-01-01;National;PARIS VAUGIRARD;RENNES;122;31;0;2;1;0;0.0;50.0;0.0;0.0;50.0;0.0
2018;Jan;2018-01-01;National;AIX EN PROVENCE TGV;PARIS LYON;188;402;0;37;19;7;42.86;22.86;8.57;22.86;0.0;2.86
2018;Jan;2018-01-01;National;DIJON VILLE;PARIS LYON;98;451;7;29;12;5;25.0;12.5;40.0;7.5;2.5;12.5
2018;Jan;2018-01-01;National;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;81;224;1;22;9;2;26.19;16.67;30.95;16.67;9.52;0.0
2018;Jan;2018-01-01;National;LYON PART DIEU;PARIS LYON;120;659;3;53;20;6;26.67;24.0;26.67;17.33;5.33;0.0
2018;Jan;2018-01-01;National;MARNE LA VALLEE;LYON PART DIEU;109;335;9;43;29;17;31.25;31.25;12.5;18.75;6.25;0.0
2018;Jan;2018-01-01;National;MARSEILLE ST CHARLES;MARNE LA VALLEE;214;312;2;46;27;12;19.51;34.15;12.2;26.83;2.44;4.88
2018;Jan;2018-01-01;National;MARSEILLE ST CHARLES;PARIS LYON;202;431;0;40;19;8;39.47;21.05;10.53;26.32;0.0;2.63
2018;Jan;2018-01-01;National;MARSEILLE ST CHARLES;LYON PART DIEU;106;557;7;40;19;5;23.08;23.08;19.23;23.08;3.85;7.69
2018;Jan;2018-01-01;National;PARIS LYON;AIX EN PROVENCE TGV;186;424;0;44;21;5;33.33;37.78;11.11;17.78;0.0;0.0
2018;Jan;2018-01-01;National;PARIS LYON;ANNECY;225;199;1;21;10;5;19.05;33.33;19.05;28.57;0.0;0.0
2018;Jan;2018-01-01;National;PARIS LYON;NICE VILLE;349;196;2;25;15;7;60.87;21.74;0.0;13.04;4.35;0.0
2018;Jan;2018-01-01;National;PARIS LYON;PERPIGNAN;308;145;0;23;12;3;13.64;59.09;9.09;18.18;0.0;0.0
2018;Jan;2018-01-01;National;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;168;112;0;14;5;2;16.67;38.89;22.22;16.67;5.56;0.0
2018;Jan;2018-01-01;National;PARIS LYON;TOULON;239;221;2;30;18;4;39.29;35.71;7.14;10.71;3.57;3.57
2018;Jan;2018-01-01;International;PARIS LYON;GENEVE;194;207;0;35;26;7;58.06;25.81;9.68;3.23;3.23;0.0
2018;Feb;2018-02-01;National;LAVAL;PARIS MONTPARNASSE;86;187;7;27;15;7;50.0;18.0;22.0;4.0;2.0;4.0
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;ANGERS SAINT LAUD;90;351;13;49;31;15;68.25;15.87;3.17;7.94;4.76;0.0
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;LE MANS;55;401;14;51;26;12;68.75;13.75;10.0;5.0;2.5;0.0
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;POITIERS;93;459;16;78;48;19;52.38;15.48;14.29;13.1;3.57;1.19
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;ST MALO;154;92;3;15;10;5;55.56;16.67;5.56;22.22;0.0;0.0
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;VANNES;153;244;11;50;28;10;42.19;26.56;15.62;14.06;1.56;0.0
2018;Feb;2018-02-01;National;RENNES;PARIS MONTPARNASSE;98;567;27;114;52;28;47.4;24.68;11.04;12.99;2.6;1.3
2018;Feb;2018-02-01;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;257;168;3;40;23;10;58.33;19.44;8.33;11.11;2.78;0.0
2018;Feb;2018-02-01;National;TOURS;PARIS MONTPARNASSE;75;177;10;25;14;6;66.67;13.33;10.0;3.33;6.67;0.0
2018;Feb;2018-02-01;National;NANTES;STRASBOURG;303;36;0;9;5;2;66.67;11.11;22.22;0.0;0.0;0.0
2018;Feb;2018-02-01;National;PARIS EST;STRASBOURG;112;448;14;70;36;11;56.52;4.35;5.43;29.35;4.35;0.0
2018;Feb;2018-02-01;National;REIMS;PARIS EST;46;206;2;29;14;3;42.62;26.23;14.75;13.11;1.64;1.64
2018;Feb;2018-02-01;National;TOURCOING;BORDEAUX ST JEAN;286;28;0;6;4;3;25.0;0.0;25.0;25.0;25.0;0.0
2018;Feb;2018-02-01;National;TOURCOING;MARSEILLE ST CHARLES;309;28;1;6;1;0;0.0;40.0;60.0;0.0;0.0;0.0
2018;Feb;2018-02-01;National;BESANCON FRANCHE COMTE TGV;PARIS LYON;131;186;2;6;4;0;41.67;25.0;8.33;16.67;8.33;0.0
2018;Feb;2018-02-01;National;GRENOBLE;PARIS LYON;182;227;0;41;18;2;22.58;22.58;32.26;22.58;0.0;0.0
2018;Feb;2018-02-01;National;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;81;199;0;12;2;1;20.0;17.14;25.71;20.0;11.43;5.71
2018;Feb;2018-02-01;National;MARNE LA VALLEE;LYON PART DIEU;109;333;4;49;21;7;32.76;17.24;13.79;29.31;3.45;3.45
2018;Feb;2018-02-01;National;MARSEILLE ST CHARLES;MARNE LA VALLEE;214;282;3;52;29;7;26.92;28.85;19.23;23.08;0.0;1.92
2018;Feb;2018-02-01;National;NIMES;PARIS LYON;176;318;0;53;25;4;36.67;40.0;5.0;16.67;0.0;1.67
2018;Feb;2018-02-01;National;PARIS LYON;BELLEGARDE (AIN);161;209;0;16;4;1;19.35;22.58;45.16;9.68;3.23;0.0
2018;Feb;2018-02-01;National;PARIS LYON;CHAMBERY CHALLES LES EAUX;193;294;0;31;18;2;20.0;27.5;20.0;27.5;2.5;2.5
2018;Feb;2018-02-01;National;PARIS LYON;GRENOBLE;180;246;0;31;14;2;31.25;15.62;28.12;25.0;0.0;0.0
2018;Feb;2018-02-01;National;PARIS LYON;LYON PART DIEU;119;583;1;43;13;1;21.05;21.05;14.04;40.35;3.51;0.0
2018;Feb;2018-02-01;National;PARIS LYON;MARSEILLE ST CHARLES;201;441;4;50;15;5;29.17;14.58;20.83;33.33;2.08;0.0
2018;Feb;2018-02-01;National;PARIS LYON;VALENCE ALIXAN TGV;130;292;1;31;13;3;16.67;18.75;20.83;41.67;2.08;0.0
2018;Feb;2018-02-01;National;PERPIGNAN;PARIS LYON;305;160;0;31;14;3;52.0;24.0;0.0;20.0;0.0;4.0
2018;Feb;2018-02-01;National;TOULON;PARIS LYON;241;247;2;33;16;2;30.3;39.39;15.15;15.15;0.0;0.0
2018;Feb;2018-02-01;International;PARIS LYON;ITALIE;431;85;0;10;6;1;40.0;10.0;20.0;30.0;0.0;0.0
2018;Feb;2018-02-01;International;STUTTGART;PARIS EST;188;136;3;36;15;3;52.78;5.56;16.67;22.22;2.78;0.0
2018;Feb;2018-02-01;National;ANGERS SAINT LAUD;PARIS MONTPARNASSE;91;352;11;64;40;19;58.82;22.35;9.41;4.71;2.35;2.35
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;RENNES;98;547;32;88;48;24;52.0;21.6;11.2;12.8;1.6;0.8
2018;Feb;2018-02-01;National;PARIS MONTPARNASSE;TOURS;72;171;12;30;22;8;60.53;15.79;13.16;7.89;0.0;2.63
2018;Feb;2018-02-01;National;QUIMPER;PARIS MONTPARNASSE;222;220;7;44;19;11;55.56;27.78;8.33;5.56;2.78;0.0
2018;Feb;2018-02-01;National;ST PIERRE DES CORPS;PARIS MONTPARNASSE;61;390;23;74;36;14;50.0;18.09;11.7;11.7;7.45;1.06
2018;Feb;2018-02-01;National;STRASBOURG;PARIS EST;112;455;5;91;34;12;51.33;9.73;15.93;17.7;2.65;2.65
2018;Feb;2018-02-01;National;STRASBOURG;NANTES;287;36;0;11;5;2;55.56;11.11;22.22;11.11;0.0;0.0
2018;Feb;2018-02-01;National;ARRAS;PARIS NORD;51;333;15;25;9;4;36.47;16.47;27.06;12.94;5.88;1.18
2018;Feb;2018-02-01;National;MARSEILLE ST CHARLES;LILLE;309;167;2;50;25;4;44.0;26.0;20.0;8.0;0.0;2.0
2018;Feb;2018-02-01;National;BORDEAUX ST JEAN;TOURCOING;301;28;0;10;5;4;16.67;0.0;66.67;16.67;0.0;0.0
2018;Feb;2018-02-01;National;RENNES;PARIS VAUGIRARD;111;27;0;5;3;3;50.0;25.0;25.0;0.0;0.0;0.0
2018;Feb;2018-02-01;National;AIX EN PROVENCE TGV;PARIS LYON;188;356;0;40;18;3;40.0;37.5;2.5;17.5;2.5;0.0
2018;Feb;2018-02-01;National;LYON PART DIEU;PARIS LYON;120;604;5;46;14;2;21.62;22.97;21.62;24.32;8.11;1.35
2018;Feb;2018-02-01;National;LYON PART DIEU;MONTPELLIER;112;286;6;16;8;3;36.84;18.42;23.68;13.16;5.26;2.63
2018;Feb;2018-02-01;National;MACON LOCHE;PARIS LYON;99;205;0;47;9;0;11.36;25.0;45.45;18.18;0.0;0.0
2018;Feb;2018-02-01;National;MONTPELLIER;PARIS LYON;206;317;0;52;25;4;40.91;40.91;2.27;13.64;0.0;2.27
2018;Feb;2018-02-01;National;PARIS LYON;PERPIGNAN;308;136;1;24;13;4;30.43;8.7;30.43;30.43;0.0;0.0
2018;Feb;2018-02-01;International;ITALIE;PARIS LYON;440;85;0;23;4;0;8.7;26.09;56.52;8.7;0.0;0.0
2018;Feb;2018-02-01;International;MARSEILLE ST CHARLES;MADRID;464;27;0;4;1;0;66.67;0.0;33.33;0.0;0.0;0.0
